provincia,año,total,asalariados_0,asalariados_1_2,asalariados_3_5,asalariados_6_9,asalariados_10_19,asalariados_20_49,asalariados_50_99,asalariados_100_199,asalariados_200_499,asalariados_500_999,asalariados_1000_4999,asalariados_5000
Albacete,2012,26400,14103,7622,2565,1048,607,344,67,28,12,1,3,0
Albacete,2011,26839,14112,7612,2787,1163,683,361,75,27,15,1,3,0
Albacete,2010,27256,14221,7763,2827,1195,728,396,74,34,14,1,3,0
Albacete,2009,27380,14030,7703,2945,1279,839,447,79,38,17,1,2,0
Albacete,2008,27647,13320,8334,3062,1383,885,499,98,42,21,1,2,0
Albacete,2007,27068,13137,8050,3010,1345,879,489,86,49,21,0,2,0
Albacete,2006,25531,12324,7655,2830,1258,851,466,83,44,17,2,1,0
Albacete,2005,24685,12114,7291,2654,1209,843,433,82,42,14,2,1,0
Albacete,2004,23550,11405,6974,2619,1238,781,410,68,37,15,2,1,0
Albacete,2003,22547,11146,6591,2386,1148,760,397,73,27,18,0,1,0
Albacete,2002,21875,11116,6147,2256,1108,703,429,74,27,15,0,0,0
Albacete,2001,21451,11186,5886,2205,996,672,399,65,27,15,0,0,0
Albacete,2000,21241,11638,5575,2016,835,683,395,63,23,13,0,0,0
Albacete,1999,20836,11592,5474,1901,817,618,343,55,26,9,1,0,0
Alicante,2012,129728,72406,35811,11487,5015,2911,1531,358,135,51,14,7,2
Alicante,2011,131564,72759,35556,12705,5220,3081,1652,380,136,55,12,7,1
Alicante,2010,132814,70468,38185,12932,5513,3295,1786,404,153,62,9,6,1
Alicante,2009,136239,68950,40080,14211,6148,3967,2176,442,183,63,9,8,2
Alicante,2008,142307,69604,42488,15276,6944,4634,2530,519,205,88,9,8,2
Alicante,2007,140145,68152,41710,15331,6861,4716,2589,511,188,70,6,9,2
Alicante,2006,133016,64230,39074,14791,6893,4711,2537,533,163,69,8,6,1
Alicante,2005,123333,58710,36851,13880,6365,4401,2410,489,148,62,14,2,1
Alicante,2004,113852,51812,35077,13437,6220,4358,2300,423,146,64,12,2,1
Alicante,2003,111805,53357,32792,12673,5891,4182,2251,452,142,53,9,2,1
Alicante,2002,107294,52341,30711,11828,5649,3947,2173,463,114,57,8,2,1
Alicante,2001,103415,51388,28977,11273,5353,3720,2120,420,104,48,10,1,1
Alicante,2000,98845,50029,27408,10422,4656,3672,2109,403,91,43,11,0,1
Alicante,1999,93644,47622,26284,9667,4221,3425,1929,363,87,38,7,1,0
Almería,2012,41021,21813,12171,3981,1610,798,440,100,61,30,12,5,0
Almería,2011,41581,21653,12149,4444,1691,923,491,111,70,34,11,4,0
Almería,2010,42546,21238,13018,4658,1861,971,545,118,86,33,13,5,0
Almería,2009,43501,21102,13337,4973,1992,1171,645,138,94,33,13,3,0
Almería,2008,45130,20965,14029,5365,2254,1431,751,173,95,48,15,4,0
Almería,2007,43970,20752,13268,5275,2169,1397,787,154,98,49,17,4,0
Almería,2006,40871,19336,12120,4963,2094,1314,736,166,76,51,11,4,0
Almería,2005,38766,18929,11455,4353,1893,1157,684,161,81,39,11,3,0
Almería,2004,36260,17372,11053,4099,1752,1134,591,149,57,40,12,1,0
Almería,2003,33947,16837,9910,3818,1533,1067,529,146,53,44,8,2,0
Almería,2002,32099,16210,9295,3420,1482,971,499,126,52,34,7,3,0
Almería,2001,30540,15715,8760,3088,1413,889,471,111,56,29,6,2,0
Almería,2000,29913,16206,8124,2887,1150,884,480,102,43,31,5,1,0
Almería,1999,28725,15696,7802,2748,1101,802,416,89,40,26,4,1,0
Álava,2012,20644,9362,6325,2251,1129,791,535,132,79,23,11,5,1
Álava,2011,21192,9870,6329,2303,1132,812,503,131,70,28,10,3,1
Álava,2010,21675,10038,6530,2354,1167,805,542,131,61,34,10,2,1
Álava,2009,21988,9938,6714,2438,1140,911,583,139,79,34,9,3,0
Álava,2008,22318,9942,6944,2436,1183,942,600,149,74,36,7,5,0
Álava,2007,20676,8904,6544,2350,1150,884,572,152,69,37,9,5,0
Álava,2006,20349,8680,6518,2344,1105,905,515,158,76,36,10,2,0
Álava,2005,19838,8257,6585,2255,1072,875,522,152,71,36,10,3,0
Álava,2004,19779,8507,6336,2227,1141,807,500,142,73,32,11,3,0
Álava,2003,19638,8834,6038,2123,1134,786,469,135,73,32,10,4,0
Álava,2002,19310,9105,5651,2039,1081,742,462,126,63,28,9,4,0
Álava,2001,19011,8492,6190,1972,960,740,426,129,57,30,11,4,0
Álava,2000,19046,8943,5905,1894,880,723,477,127,55,29,8,5,0
Álava,1999,18384,8909,5595,1764,847,647,423,109,47,33,7,3,0
Asturias,2012,68967,37110,19996,6307,2684,1625,821,241,105,56,12,8,2
Asturias,2011,69877,37416,19679,6881,2822,1737,902,249,110,58,12,9,2
Asturias,2010,70362,37193,20087,6963,3002,1720,936,254,125,52,19,10,1
Asturias,2009,71853,37244,20881,7188,3059,1972,1021,272,134,53,16,12,1
Asturias,2008,73124,37534,21456,7324,3132,2064,1101,271,139,71,14,17,1
Asturias,2007,72276,37377,21074,7161,3081,2001,1082,267,130,68,19,15,1
Asturias,2006,70115,36420,20203,7043,3026,1939,1019,253,121,59,20,11,1
Asturias,2005,68175,35338,19765,6771,2992,1818,1041,248,113,60,17,11,1
Asturias,2004,67039,34632,19491,6648,2980,1853,1006,231,109,58,20,10,1
Asturias,2003,65062,33960,18630,6441,2869,1768,983,216,116,55,15,7,2
Asturias,2002,63209,33510,17648,6136,2757,1803,919,255,100,55,16,7,3
Asturias,2001,65301,36299,17369,5928,2668,1740,900,230,92,57,10,6,2
Asturias,2000,63133,35770,16384,5612,2348,1693,932,231,90,56,10,4,3
Asturias,1999,46612,23318,13639,4860,2049,1555,833,208,76,56,10,5,3
Ávila,2012,10735,5713,3278,1079,365,194,84,11,7,2,1,1,0
Ávila,2011,10740,5788,3090,1138,393,221,85,10,11,2,1,1,0
Ávila,2010,11414,5892,3352,1297,477,261,106,15,7,2,2,3,0
Ávila,2009,11455,5919,3405,1267,467,253,113,17,10,2,1,1,0
Ávila,2008,11708,5958,3534,1269,495,299,121,19,9,2,1,1,0
Ávila,2007,11434,5865,3479,1209,447,289,114,17,10,2,1,1,0
Ávila,2006,10900,5647,3278,1119,449,268,109,21,5,2,1,1,0
Ávila,2005,10611,5661,3096,1058,405,266,99,17,4,2,2,1,0
Ávila,2004,10319,5498,3028,1052,379,237,96,20,3,2,3,1,0
Ávila,2003,10211,5598,2897,1000,378,226,84,17,4,3,3,1,0
Ávila,2002,9855,5498,2741,937,352,216,89,13,6,1,2,0,0
Ávila,2001,9842,5601,2680,912,339,210,81,11,5,1,2,0,0
Ávila,2000,9904,5822,2597,886,279,211,88,13,5,1,2,0,0
Ávila,1999,9742,5810,2511,829,295,200,76,13,6,0,2,0,0
Badajoz,2012,39433,21650,10956,3781,1533,890,431,119,49,16,6,2,0
Badajoz,2011,39426,22530,9742,3894,1645,953,464,129,46,14,7,1,1
Badajoz,2010,39739,22639,9765,3974,1695,935,512,130,68,15,4,1,1
Badajoz,2009,40874,22416,10762,4084,1716,1112,566,136,60,14,6,1,1
Badajoz,2008,41358,21698,11669,4098,1809,1222,604,162,57,32,5,1,1
Badajoz,2007,40168,21351,11140,3974,1698,1167,599,147,56,28,6,1,1
Badajoz,2006,38045,20129,10667,3794,1590,1097,541,151,47,24,4,1,0
Badajoz,2005,37052,20030,10141,3612,1540,1001,513,135,56,19,4,1,0
Badajoz,2004,34972,18696,9737,3478,1443,944,501,116,36,17,3,1,0
Badajoz,2003,34866,19341,9313,3209,1460,904,469,112,32,17,6,3,0
Badajoz,2002,34044,18959,8908,3193,1441,921,449,126,32,13,2,0,0
Badajoz,2001,33316,18862,8661,2968,1322,911,425,123,25,18,1,0,0
Badajoz,2000,33970,19809,8589,2912,1175,892,443,103,22,23,2,0,0
Badajoz,1999,31708,18629,8039,2653,1035,803,411,99,22,15,2,0,0
Islas Baleares,2012,85372,46345,23735,8228,3662,1962,948,267,149,49,13,13,1
Islas Baleares,2011,87461,47660,23150,9036,3867,2188,1058,269,152,54,12,14,1
Islas Baleares,2010,89562,47635,24667,9249,3969,2365,1125,289,177,54,17,14,1
Islas Baleares,2009,91826,47921,25176,9800,4243,2767,1329,313,182,58,20,16,1
Islas Baleares,2008,93335,47167,26531,9883,4589,2974,1527,320,196,104,26,17,1
Islas Baleares,2007,91254,45778,26157,9747,4557,2902,1473,310,184,100,25,20,1
Islas Baleares,2006,88027,43935,25188,9515,4490,2871,1425,294,187,83,18,19,2
Islas Baleares,2005,87024,44359,24662,9230,4109,2743,1348,282,169,87,20,13,2
Islas Baleares,2004,85425,41921,24808,9580,4425,2807,1310,269,186,86,16,15,2
Islas Baleares,2003,75951,37238,21923,8364,3912,2653,1277,287,191,74,20,10,2
Islas Baleares,2002,73358,36162,20731,8084,3904,2628,1252,306,193,75,12,9,2
Islas Baleares,2001,71424,35600,20013,7782,3737,2506,1234,295,170,64,13,9,1
Islas Baleares,2000,69574,35965,19036,7271,3143,2405,1246,285,142,61,11,8,1
Islas Baleares,1999,67132,34781,18712,6907,2940,2184,1154,248,126,60,12,8,0
Barcelona,2012,446147,258810,109209,37047,18314,11694,6814,2163,1192,583,184,120,17
Barcelona,2011,453485,263257,107287,39830,19020,12491,7189,2285,1169,618,186,137,16
Barcelona,2010,458918,260253,113603,40420,19795,12899,7467,2305,1219,630,186,124,17
Barcelona,2009,467385,258650,117148,42860,20608,14813,8429,2560,1309,665,191,135,17
Barcelona,2008,477942,258125,123298,44610,21837,15797,9161,2631,1357,766,214,128,18
Barcelona,2007,469432,253129,119741,44671,21966,15928,9065,2562,1299,735,198,122,16
Barcelona,2006,444410,236491,112564,44155,21809,15730,8957,2432,1254,682,200,119,17
Barcelona,2005,436294,232893,110874,42647,21128,15375,8791,2362,1221,658,208,124,13
Barcelona,2004,417425,219520,106962,41881,20972,15265,8412,2280,1158,651,196,116,12
Barcelona,2003,397693,210245,98973,40204,20498,14861,8485,2330,1163,626,189,108,11
Barcelona,2002,391573,210333,94980,38696,20065,14386,8697,2413,1103,620,171,99,10
Barcelona,2001,374027,200493,90357,36762,19584,14138,8337,2368,1100,624,163,92,9
Barcelona,2000,373806,204901,88957,36009,16930,14089,8734,2327,1021,592,150,88,8
Barcelona,1999,374414,209535,88721,34856,16072,13218,8117,2154,935,577,144,76,9
Vizcaya,2012,82787,43518,23674,7382,3587,2401,1413,423,215,112,35,25,2
Vizcaya,2011,85848,45895,24303,7318,3618,2458,1428,439,200,125,35,27,2
Vizcaya,2010,87527,46328,25094,7463,3705,2590,1490,458,206,128,37,26,2
Vizcaya,2009,88130,45712,25767,7617,3680,2800,1665,467,218,137,38,28,1
Vizcaya,2008,89416,46202,26243,7765,3683,2932,1690,475,217,144,36,26,3
Vizcaya,2007,84209,42399,25241,7517,3665,2829,1686,459,214,137,34,25,3
Vizcaya,2006,82541,41537,24664,7466,3658,2736,1628,455,207,132,32,23,3
Vizcaya,2005,80508,39825,24695,7280,3589,2664,1621,430,213,133,29,26,3
Vizcaya,2004,79389,39795,23798,7146,3652,2613,1567,413,212,131,33,27,2
Vizcaya,2003,79082,41428,22321,6916,3539,2609,1464,403,218,129,31,23,1
Vizcaya,2002,77699,42401,20858,6631,3333,2423,1316,348,212,126,29,19,3
Vizcaya,2001,78531,40958,23081,6790,3322,2362,1284,371,191,124,28,16,4
Vizcaya,2000,77284,40983,22408,6503,2946,2327,1391,391,188,101,29,15,2
Vizcaya,1999,76042,42246,20984,6065,2606,2186,1272,382,162,99,24,13,3
Burgos,2012,25196,14025,6521,2354,1062,674,381,110,42,17,7,3,0
Burgos,2011,25208,14006,6212,2605,1091,696,418,101,43,23,9,4,0
Burgos,2010,25397,13699,6646,2626,1114,703,420,107,43,28,8,3,0
Burgos,2009,25567,13612,6761,2609,1112,801,465,113,53,30,7,4,0
Burgos,2008,25891,13406,7090,2670,1194,832,474,121,54,38,7,5,0
Burgos,2007,25372,13013,7044,2667,1184,811,439,117,52,34,6,5,0
Burgos,2006,24504,12608,6825,2534,1137,782,414,105,55,35,6,3,0
Burgos,2005,23733,12294,6615,2407,1108,721,380,116,51,33,5,3,0
Burgos,2004,22882,11843,6321,2389,1093,702,348,97,52,29,5,3,0
Burgos,2003,22159,11703,5985,2259,1004,674,350,93,50,33,5,3,0
Burgos,2002,21586,11584,5657,2152,1005,637,367,103,50,26,4,1,0
Burgos,2001,21315,11643,5528,2071,934,629,336,88,53,28,4,1,0
Burgos,2000,21493,12080,5427,2029,818,633,351,86,45,22,1,1,0
Burgos,1999,20882,11901,5249,1906,801,557,328,76,38,24,1,1,0
Cáceres,2012,25238,14263,6962,2187,924,550,248,68,27,7,1,1,0
Cáceres,2011,25677,14427,6833,2430,1024,592,266,66,29,7,1,2,0
Cáceres,2010,25834,14257,7057,2467,1037,586,309,74,35,8,3,1,0
Cáceres,2009,26307,14558,7093,2487,1075,638,340,73,31,9,2,1,0
Cáceres,2008,26494,14340,7233,2634,1094,701,357,80,38,15,1,1,0
Cáceres,2007,26064,14381,7012,2485,1062,657,348,76,27,11,4,1,0
Cáceres,2006,25039,13926,6745,2303,1008,625,327,64,27,9,4,1,0
Cáceres,2005,24846,14045,6530,2272,989,591,313,66,26,9,4,1,0
Cáceres,2004,20596,10436,6080,2210,936,562,284,47,26,10,4,1,0
Cáceres,2003,23440,12976,6388,2181,955,578,275,48,20,13,4,2,0
Cáceres,2002,23375,13325,6020,2208,947,535,251,53,23,12,0,1,0
Cáceres,2001,14449,7277,3926,1701,768,457,238,47,22,12,0,1,0
Cáceres,2000,14335,7328,3856,1656,697,474,252,37,20,14,0,1,0
Cáceres,1999,14793,6977,4682,1702,661,488,212,42,14,13,1,1,0
Cádiz,2012,59027,30453,17413,6070,2673,1375,732,194,84,25,4,4,0
Cádiz,2011,60184,31181,17003,6581,2761,1548,764,216,93,28,6,3,0
Cádiz,2010,61056,31074,17751,6525,2883,1580,853,240,105,36,5,4,0
Cádiz,2009,62817,31278,18270,6841,3079,1924,981,276,126,34,3,5,0
Cádiz,2008,64505,31362,18703,7169,3386,2181,1167,308,152,60,12,5,0
Cádiz,2007,63338,31217,18005,7070,3257,2098,1169,310,142,55,9,6,0
Cádiz,2006,61691,31419,16840,6606,3185,2016,1144,289,128,49,11,4,0
Cádiz,2005,58986,30375,16082,6195,2956,1849,1064,280,120,53,7,5,0
Cádiz,2004,57138,29621,15509,6103,2727,1793,976,241,109,47,7,5,0
Cádiz,2003,54462,28754,14649,5543,2563,1636,920,242,99,51,0,5,0
Cádiz,2002,52320,28059,13806,5271,2366,1559,873,237,104,41,1,3,0
Cádiz,2001,50075,27063,13265,4950,2206,1452,783,221,88,43,2,2,0
Cádiz,2000,45886,24814,12342,4404,1847,1359,790,195,95,36,1,3,0
Cádiz,1999,46205,25639,12301,4350,1704,1228,690,170,85,33,3,2,0
Cantabria,2012,38137,19789,11405,3698,1534,933,524,141,67,35,7,2,2
Cantabria,2011,38867,20040,11287,4060,1643,1029,536,155,71,34,7,3,2
Cantabria,2010,39024,19782,11524,4063,1771,1027,582,156,71,35,7,4,2
Cantabria,2009,39611,19761,11771,4179,1815,1148,645,162,80,36,7,5,2
Cantabria,2008,40393,19640,12264,4352,1876,1231,719,179,78,41,7,4,2
Cantabria,2007,39560,19366,11896,4163,1893,1241,694,185,74,35,8,4,1
Cantabria,2006,37690,18503,11239,3978,1846,1172,661,178,66,35,6,5,1
Cantabria,2005,36561,17957,10965,3830,1732,1150,649,169,66,32,5,5,1
Cantabria,2004,35649,17678,10524,3697,1694,1154,626,161,67,37,5,5,1
Cantabria,2003,34017,17380,9656,3492,1630,993,597,168,57,34,5,4,1
Cantabria,2002,33017,17216,9079,3357,1566,974,559,173,59,25,7,1,1
Cantabria,2001,32288,17108,8778,3196,1481,938,541,156,54,28,6,1,1
Cantabria,2000,32449,17868,8517,3058,1310,930,539,141,49,26,7,3,1
Cantabria,1999,31447,17484,8314,2838,1258,850,507,123,41,24,7,0,1
Castellón,2012,39748,20429,12092,3867,1547,934,537,177,88,56,15,6,0
Castellón,2011,40373,20619,11771,4361,1679,1013,576,182,98,53,15,6,0
Castellón,2010,40797,20033,12418,4408,1838,1098,614,206,104,58,16,4,0
Castellón,2009,42122,20090,12732,4688,2071,1340,740,248,117,74,18,4,0
Castellón,2008,43855,20248,13421,4957,2233,1613,840,291,149,76,20,7,0
Castellón,2007,42476,19404,13077,4830,2202,1585,871,258,149,74,19,7,0
Castellón,2006,39749,18051,12133,4637,2114,1492,824,257,146,69,18,8,0
Castellón,2005,37865,17495,11571,4294,1888,1364,780,232,141,78,17,5,0
Castellón,2004,37214,17316,11210,4276,1869,1349,727,240,137,68,18,4,0
Castellón,2003,34213,15940,10203,3840,1816,1254,693,257,130,63,15,2,0
Castellón,2002,32766,15598,9468,3676,1672,1200,695,263,123,56,13,2,0
Castellón,2001,31825,15257,9180,3508,1646,1104,685,257,116,57,13,2,0
Castellón,2000,31721,16084,8691,3322,1402,1112,711,229,104,54,11,1,0
Castellón,1999,30636,15511,8533,3202,1313,1041,652,221,101,52,9,1,0
Ceuta,2012,3622,1860,1074,368,159,92,48,11,8,1,1,0,0
Ceuta,2011,3642,1978,964,371,167,93,48,13,5,2,1,0,0
Ceuta,2010,3615,1976,940,359,167,102,49,14,5,2,1,0,0
Ceuta,2009,3689,1959,1005,385,163,100,56,14,4,2,1,0,0
Ceuta,2008,3724,1944,1100,348,157,97,57,11,7,2,1,0,0
Ceuta,2007,3752,1984,1071,374,137,101,65,11,8,0,1,0,0
Ceuta,2006,3700,2011,1035,326,152,95,63,12,5,0,1,0,0
Ceuta,2005,3735,2042,1082,304,140,83,58,16,6,3,1,0,0
Ceuta,2004,3667,1958,1067,332,131,95,60,14,6,3,1,0,0
Ceuta,2003,3547,1960,986,314,130,81,59,8,6,3,0,0,0
Ceuta,2002,3465,1911,957,310,130,81,59,9,6,2,0,0,0
Ceuta,2001,3439,1891,962,304,136,84,46,9,7,0,0,0,0
Ceuta,2000,3414,1906,973,272,116,87,48,6,5,1,0,0,0
Ceuta,1999,3325,1887,916,274,109,80,47,8,3,1,0,0,0
Ciudad Real,2012,30600,15983,9066,2990,1253,783,380,91,39,12,2,1,0
Ciudad Real,2011,31129,16098,8891,3295,1369,877,446,93,45,10,3,2,0
Ciudad Real,2010,31627,16043,9243,3335,1437,924,485,102,42,11,3,2,0
Ciudad Real,2009,32046,16173,9103,3421,1566,1060,538,117,54,9,4,1,0
Ciudad Real,2008,33011,16223,9504,3590,1627,1210,633,145,55,21,0,3,0
Ciudad Real,2007,31881,15805,9047,3479,1562,1152,629,136,49,18,1,3,0
Ciudad Real,2006,30446,15417,8405,3235,1528,1097,573,129,44,15,0,3,0
Ciudad Real,2005,29521,15154,8214,3031,1376,1033,543,114,40,14,0,2,0
Ciudad Real,2004,29011,15126,7981,2912,1361,970,497,105,42,14,1,2,0
Ciudad Real,2003,26778,14021,7276,2661,1303,899,464,107,38,7,0,2,0
Ciudad Real,2002,25587,13608,6790,2523,1223,874,437,89,36,6,0,1,0
Ciudad Real,2001,25435,13851,6646,2406,1169,831,407,88,30,6,0,1,0
Ciudad Real,2000,24577,13697,6309,2263,988,784,417,85,23,10,0,1,0
Ciudad Real,1999,25114,14314,6401,2228,942,720,389,91,20,8,1,0,0
Córdoba,2012,46601,24823,13623,4332,1857,1153,580,138,53,34,4,4,0
Córdoba,2011,47465,25328,13101,4905,2004,1253,627,159,52,29,4,3,0
Córdoba,2010,48249,25105,13736,5071,2047,1329,694,159,74,26,5,3,0
Córdoba,2009,48979,24984,13945,5153,2324,1518,761,177,80,27,6,4,0
Córdoba,2008,50057,24747,14405,5462,2473,1742,879,212,77,46,6,8,0
Córdoba,2007,49302,24748,13892,5260,2460,1717,909,196,69,39,8,4,0
